XSD要素,ラベル,セクション,計画届,変更届,終了届,中止届,開発中止届,3.8固定NONE,順序番号型,備考
RECEPTNUMINITNOTE,主たる被験薬の初回届出受付番号,4.1,記入,継承,継承,継承,記入,,,
PLANNUMSUBJTESTPRODUCT,予定被験者数（被験薬）,4.1,記入,継承,継承,継承,—,,,
INFOFORMVERSION,様式等のバージョン情報,4.1,記入,継承,継承,継承,記入,,,
TESTSUBSTANCEIDCODE,主たる被験薬の治験成分記号,4.2,記入,継承,継承,継承,記入,,,
TYPECLINTRIALS,治験の種類,4.2,記入,継承,継承,継承,記入,,,
INITNOTEDATE,主たる被験薬の初回届出年月日,4.2,記入,継承,継承,継承,記入,,,
SERIALNOTENUM,主たる被験薬の届出回数,4.2,記入,記入,継承,継承,00*,,,"開発中止は届出回数不要（""00""）"
RECEPTNUMCLINTRIALPLANNOTE,当該治験計画届出受付番号,4.2,—,記入,記入,記入,—,,,初回計画届では未付番。開発中止は初回受付番号側を使用
CLINTRIALPLANNOTEDATE,当該治験計画届出年月日,4.2,—,記入,記入,記入,—,,,初回計画届では未付番。開発中止は初回受付番号側を使用
NOTEDATE,届出年月日,4.3,記入,継承,継承,継承,記入,NONE固定,,
CLASSNOTE,届出分類,4.3,記入,継承,継承,継承,記入,NONE固定,,
TIMESCHANGE,変更回数,4.3,記入,継承,継承,継承,—,NONE固定,,
CATEGORYNOTE,届出区分,4.3,記入,継承,継承,継承,記入,,,
TERMINATIONDATE,中止日年月日,4.3,—,—,—,記入,記入,NONE固定,,
REASONTERMINATION,中止理由,4.3,—,—,—,記入,記入,NONE固定,,
POSTTERMINATIONMEASURE,その後の対応状況,4.3,—,—,記入,記入,—,NONE固定,,
SERIALNO1,順序番号,4.3,記入,記入,継承,継承,—,,繰り返し採番（親要素で型が決まる）,
SPONSOR_NAME,(記入例にラベル明示なし),4.3,記入,継承,継承,継承,—,,,
SPONSOR_ADDRESS1,所在地 1,4.3,記入,継承,継承,継承,—,,,
SPONSOR_ADDRESS2,所在地 2,4.3,記入,継承,継承,継承,—,,,
MANUFACTURERIMPORTERCODE,業者コード,4.3,記入,継承,継承,継承,—,,,
INGREDIENTSQUANTITIES,成分及び分量,4.3,記入,継承,継承,継承,—,,,
DOSAGEFORMCODE,剤形コード,4.3,記入,継承,継承,継承,—,,,
MANUFACTMETHOD,主たる被験薬の製造方法,4.3,記入,継承,継承,継承,—,,,
INTENDINDICATIONSEFFECTS,予定される効能又は効果,4.3,記入,継承,継承,継承,—,,,
EFFICACYCLASSCODENUMBER,薬効分類番号,4.3,記入,継承,継承,継承,—,,,
INTENDDOSAGEADMIN,予定される用法及び用量,4.3,記入,継承,継承,継承,—,,,
ADMINROUTECODE,投与経路コード,4.3,記入,継承,継承,継承,—,,,
PROTOCOLNUM,実施計画書識別記号,4.3,記入,継承,継承,継承,—,,,
PHASECLINTRIAL,開発の相,4.3,記入,継承,継承,継承,—,,,
TYPECLINTRIAL,試験の種類,4.3,記入,継承,継承,継承,—,,,
TRIALOBJECTIVES,目的,4.3,記入,継承,継承,継承,—,,,
PLANNUMSUBJECTSTOTAL,予定被験者数（合計）,4.3,記入,継承,継承,継承,—,,,
TARGETDISEASE,主たる被験薬の対象疾患,4.3,記入,継承,継承,継承,—,,,
DOSAGEADMIN,用法及び用量,4.3,記入,継承,継承,継承,—,,,
STARTDATECLINTRIAL,開始日年月日,4.3,記入,継承,継承,継承,—,,,
ENDDATECLINTRIAL,終了日年月日,4.3,—,継承,記入,—,—,,,
REASONONEROUS,有償の理由等,4.3,記入,継承,継承,継承,—,,,
CHARGEOUTPERSONNAME,費用負担者氏名,4.3,記入,継承,継承,継承,—,,,
VALIDITYREASONS,妥当性,4.3,記入,継承,継承,継承,—,,,
KEYINVEST_NAME,治験調整医師の氏名,4.3,記入,継承,継承,継承,—,,,
NAMEMEDICALINSTITUT,治験調整医師の所属機関,4.3,記入,継承,継承,継承,—,,,
KEYINVEST_AFFILIATION,治験調整医師の所属,4.3,記入,継承,継承,継承,—,,,
CRO_NAME,氏名,4.3,記入,継承,継承,継承,—,,,
CRO_ADDRESS1,住所 1,4.3,記入,継承,継承,継承,—,,,
CRO_ADDRESS2,住所 2,4.3,記入,継承,継承,継承,—,,,
CRO_SERVICES,委託する業務の範囲,4.3,記入,継承,継承,継承,—,,,
TYPECLINTRIALWITHDRUGCARTAGENA,該当の有無等,4.3,記入,継承,継承,継承,—,,,
DETAIL,該当する場合の詳述 / 内容 / その他の場合の詳述,4.3,記入,継承,継承,継承,—,,,
TYPEBIOLOGICALPROD,該当の有無等,4.3,記入,継承,継承,継承,—,,,
APPLICABLEORNOT,該当の有無 / 該当の有無等,4.3,記入,継承,継承,継承,—,,,
OTHERCOMMENTS_PRIMARY,その他,4.3,記入,継承,継承,継承,—,,,
TYPEEXPANDEDACCESSPROG,該当の有無等,4.3,記入,継承,継承,継承,—,,,
CONTENTS,内容 / 参照の詳細,4.3,記入,継承,継承,継承,—,,,
NAMEDOC,資料名,4.3,記入,継承,継承,継承,記入,NONE固定,,
REMARK,備考,4.3,記入,継承,継承,継承,記入,,,
CLASSPERSONFILLNOTE,治験届出者の種別,4.3,記入,継承,継承,継承,記入,,,
APPLICAT_NAME,担当者の氏名 / 届出者の名称,4.3,記入,継承,継承,継承,記入,,,
APPLICAT_REP_NAME,届出者の(代表者の)氏名,4.3,記入,継承,継承,継承,記入,,,
APPLICAT_ADDRESS1,所在地 1,4.3,記入,継承,継承,継承,記入,,,
APPLICAT_ADDRESS2,所在地 2,4.3,記入,継承,継承,継承,記入,,,
MUNUFACTURERIMPORTERCODE,業者コード,4.3,記入,継承,継承,継承,記入,,,
APPLICAT_PERSON_NAME,担当者の氏名,4.3,記入,継承,継承,継承,記入,,,
APPLICAT_PERSON_TITLE,担当者の所属,4.3,記入,継承,継承,継承,記入,,,
APPLICAT_TELNUM,電話番号,4.3,記入,継承,継承,継承,記入,,,
FAXNUMBER,ＦＡＸ番号又はメールアドレス,4.3,記入,継承,継承,継承,記入,,,
FOREIGN_SPONSOR_NAME,海外依頼者、外国製造業者の名称（邦文）,4.3,記入,継承,継承,継承,—,,,
FOREIGN_SPONSOR_REP_NAME,海外依頼者、外国製造業者の(代表者の)氏名（邦文）,4.3,記入,継承,継承,継承,—,,,
FOREIGN_SPONSOR_ADDRESS1,所在地１（邦文）,4.3,記入,継承,継承,継承,—,,,
FOREIGN_SPONSOR_ADDRESS2,所在地２（邦文）,4.3,記入,継承,継承,継承,—,,,
FOREIGN_NAME_FRGNLNG,海外依頼者、外国製造業者の名称（外国文）,4.3,記入,継承,継承,継承,—,,,
FOREIGN_SPONSOR_REP_NAME_FRGNLNG,(記入例にラベル明示なし),4.3,記入,継承,継承,継承,—,,,
FOREIGN_ADDRESS1_FRGNLNG,(記入例にラベル明示なし),4.3,記入,継承,継承,継承,—,,,
FOREIGN_ADDRESS2_FRGNLNG,所在地 2（外国文）,4.4,記入,継承,継承,継承,—,,,
COMB_PRODUCTCATEGORY,医薬品／医療機器／再生医療等製品の別,4.4,記入,継承,継承,継承,—,,,
COMBINATION_ID,記号・名称等,4.4,記入,継承,継承,継承,—,,,
TYPECOMBINATION_ID,記号・名称等の種類,4.4,記入,継承,継承,継承,—,,,
COMBINATIONCATEGORY,被験薬／対照薬／併用薬／レスキュー薬などの区別,4.4,記入,継承,継承,継承,—,,,
COMB_APPLICATIONSTATUS,国内における承認状況,4.4,記入,継承,継承,継承,—,,,
SERIALNO2,順序番号,4.4,記入,記入,継承,継承,—,,繰り返し採番（親要素で型が決まる）,
COMB_SPONSOR_NAME,名称,4.4,記入,継承,継承,継承,—,,,
COMB_SPONSOR_ADDRESS1,(記入例にラベル明示なし),4.4,記入,継承,継承,継承,—,,,
COMB_SPONSOR_ADDRESS2,所在地２,4.4,記入,継承,継承,継承,—,,,
COMB_MANUFACTURERIMPORTERCODE,業者コード,4.4,記入,継承,継承,継承,—,,,
COMB_INGREDIENTSQUANTITIES,成分及び分量,4.4,記入,継承,継承,継承,—,,,
COMB_DOSAGEFORMCODE,剤形コード,4.4,記入,継承,継承,継承,—,,,
COMB_MANUFACTMETHOD,製造方法,4.4,記入,継承,継承,継承,—,,,
COMB_INTENDINDICATIONSEFFECTS,予定される効能又は効果,4.4,記入,継承,継承,継承,—,,,
COMB_EFFICACYCLASSCODENUMBER,薬効分類番号,4.4,記入,継承,継承,継承,—,,,
COMB_INTENDDOSAGEADMIN,予定される用法及び用量,4.4,記入,継承,継承,継承,—,,,
COMB_ADMINROUTECODE,投与経路コード,4.4,記入,継承,継承,継承,—,,,
COMB_TARGETDISEASE,対象疾患,4.4,記入,継承,継承,継承,—,,,
COMB_DOSAGEADMIN,用法及び用量,4.4,記入,継承,継承,継承,—,,,
OTHERCOMMENTS,その他,4.4,記入,継承,継承,継承,—,,,
COMB_FOREIGN_SPONSOR_NAME,海外依頼者、外国製造業者の名称（邦文）,4.4,記入,継承,継承,継承,—,,,
COMB_FOREIGN_SPONSOR_REP_NAME,(記入例にラベル明示なし),4.4,記入,継承,継承,継承,—,,,
COMB_FOREIGN_SPONSOR_ADDRESS1,所在地１（邦文）,4.4,記入,継承,継承,継承,—,,,
COMB_FOREIGN_SPONSOR_ADDRESS2,所在地２（邦文）,4.4,記入,継承,継承,継承,—,,,
COMB_FOREIGN_NAME_FRGNLNG,海外依頼者、外国製造業者の名称（外国文）,4.4,記入,継承,継承,継承,—,,,
COMB_FOREIGN_SPOMSPR_REP_NAME_FRGNLNG,(記入例にラベル明示なし),4.4,記入,継承,継承,継承,—,,,
COMB_FOREIGN_ADDRESS1_FRGNLNG,所在地１（外国文）,4.4,記入,継承,継承,継承,—,,,
COMB_FOREIGN_ADDRESS2_FRGNLNG,所在地２（外国文）,4.4,記入,継承,継承,継承,—,,,
COMB_REMARKS,その他備考,4.5,記入,継承,継承,継承,—,,,
COMB_PRESENCEADRREPORT,副作用報告の有無,4.5,記入,継承,継承,継承,—,,,
INSTITUTE_NAME,実施医療機関の名称,4.5,記入,継承,継承,継承,—,,,
DEPARTMENT,(記入例にラベル明示なし),4.5,記入,継承,継承,継承,—,,,
INSTITUTE_ADDRESS1,所在地１,4.5,記入,継承,継承,継承,—,,,
INSTITUTE_ADDRESS2,所在地２,4.5,記入,継承,継承,継承,—,,,
INSTITUTE_TELNUM,電話番号,4.5,記入,継承,継承,継承,—,,,
CHIEFINVEST_NAME,治験責任医師の氏名,4.5,記入,継承,継承,継承,—,,,
NUMMEDICALSCHOOL,大学番号,4.5,記入,継承,継承,継承,—,,,
GRADUATYEARMEDICALSCHOOL,(記入例にラベル明示なし),4.5,記入,継承,継承,継承,—,,,
CHIEFINVEST_PRONOUNCE,氏名よみかな,4.5,記入,継承,継承,継承,—,,,
INVESTIGATER_NAME,治験分担医師の氏名,4.5,記入,継承,継承,継承,—,,B:イベント行型（分担医師）,
INVEST_PRONOUNCE,氏名よみかな,4.5,記入,継承,継承,継承,—,,B:イベント行型（分担医師）,
NAMEINVESTPRODUCT,(記入例にラベル明示なし),4.5,記入,継承,継承,継承,—,,A:突合キー型（治験薬・数量）,
QUANTITIESPLANNED,予定交付（入手）数量,4.5,記入,継承,継承,継承,—,,A:突合キー型（治験薬・数量）,
QUANTITIESSUPPLIED,交付数量,4.5,—,—,記入,記入,—,NONE固定,A:突合キー型（治験薬・数量）,
QUANTITIESUSED,使用数量,4.5,—,—,記入,記入,—,NONE固定,A:突合キー型（治験薬・数量）,
QUANTITIESWITHDRAWN,回収数量,4.5,—,—,記入,記入,—,NONE固定,A:突合キー型（治験薬・数量）,
QUANTITIESABROGATED,廃棄数量,4.5,—,—,記入,記入,—,NONE固定,A:突合キー型（治験薬・数量）,
PLANNUMSUBJMEDICALINSTUTUT,実施医療機関予定被験者数,4.5,記入,継承,継承,継承,—,,,
NUMSUBJENROLLINSTITUTION,実施医療機関被験者数,4.5,—,—,記入,記入,—,NONE固定,,
SMO_NAME,氏名,4.5,記入,継承,継承,継承,—,,,
SMO_ADDRESS1,住所１,4.5,記入,継承,継承,継承,—,,,
SMO_ADDRESS2,住所２,4.5,記入,継承,継承,継承,—,,,
SMO_SERVICE,委託する業務の範囲,4.5,記入,継承,継承,継承,—,,,
TYPEIRB,院内・外部の区分,4.5,記入,継承,継承,継承,—,,,
IRB_OWNER_NAME,治験審査委員会の設置者の名称,4.5,記入,継承,継承,継承,—,,,
IRB_ADDRESS1,所在地１,4.5,記入,継承,継承,継承,—,,,
IRB_ADDRESS2,所在地２,4.5,記入,継承,継承,継承,—,,,
OTHERS,その他,4.5,記入,継承,継承,継承,—,,,
FOOTNOTE,脚注,4.5,記入,継承,継承,継承,—,,,
REF_PRODUCTCATEGORY,医薬品／医療機器／再生医療等製品の別,4.6,△,△,△,△,—,,,
REF_INFOTESTSUBSTANCEIDCODE,治験成分記号又は治験識別記号,4.6,△,△,△,△,—,,,
REF_SERIALNOTENUM,届出回数,4.6,△,△,△,△,—,,,
TYPEREFFERENCE,参照の区分,4.6,△,△,△,△,—,,,
NAME,実施医療機関の名称 / 責任医師の氏名 / 分担医師の氏名,5.2,記入,記入,継承,継承,—,,,
